step,tokens,train_loss,val_loss,lr,tok_per_s,elapsed_s,temp_c,sm_mhz,power_w
0,49152,4.7052,,2.00e-06,0,3.8,48.0,2250.0,21.79
50,2506752,1.9421,,1.02e-04,149374,20.2,86.0,2220.0,79.13
100,4964352,1.7537,,2.02e-04,142803,37.4,87.0,2205.0,76.71
150,7421952,1.7830,,3.02e-04,140002,55.0,87.0,2070.0,73.59
200,9879552,1.6486,,4.02e-04,137150,72.9,85.0,1995.0,70.86
250,12337152,1.6981,,5.02e-04,135204,91.1,87.0,2115.0,70.16
300,14794752,1.4407,,6.00e-04,135263,109.2,86.0,1995.0,70.61
350,17252352,1.4624,,6.00e-04,134362,127.5,86.0,2055.0,69.21
400,19709952,1.4087,,6.00e-04,133802,145.9,87.0,2055.0,68.26
450,22167552,1.3168,,5.99e-04,135239,164.1,86.0,1980.0,68.88
500,24625152,1.1080,,5.99e-04,134506,182.3,86.0,1980.0,69.13
550,27082752,1.1084,,5.98e-04,133314,200.8,80.0,2280.0,67.11
600,29540352,1.1447,,5.98e-04,132424,219.3,86.0,2160.0,68.4
650,31997952,1.0799,,5.97e-04,132073,237.9,86.0,2040.0,67.43
700,34455552,1.0052,,5.96e-04,132733,256.5,87.0,2070.0,67.86
750,36913152,1.0062,,5.95e-04,133150,274.9,86.0,1980.0,69.85
800,39370752,0.9390,,5.93e-04,133907,293.3,86.0,1920.0,67.73
850,41828352,0.8531,,5.92e-04,134193,311.6,85.0,1920.0,67.58
900,44285952,0.9018,,5.91e-04,134868,329.8,86.0,1920.0,67.78
950,46743552,0.8245,,5.89e-04,135187,348.0,86.0,1980.0,68.73
1000,49201152,0.8726,,5.87e-04,134727,366.2,86.0,1980.0,68.25
1000,49201152,0.8726,0.8188,5.87e-04,,370.3,86.0,1965.0,68.43
1050,51658752,0.7384,,5.85e-04,135700,388.7,86.0,2055.0,68.55
1100,54116352,0.7531,,5.83e-04,132638,407.2,86.0,1995.0,67.66
1150,56573952,0.7138,,5.81e-04,134309,425.5,86.0,1920.0,67.86
1200,59031552,0.7372,,5.79e-04,134437,443.8,85.0,1920.0,67.98
1250,61489152,0.7678,,5.76e-04,134781,462.1,87.0,1980.0,69.86
1300,63946752,0.7491,,5.74e-04,134728,480.3,81.0,2460.0,67.71
1350,66404352,0.6985,,5.71e-04,134693,498.5,87.0,1920.0,69.55
1400,68861952,0.7043,,5.69e-04,135116,516.7,87.0,2025.0,67.59
1450,71319552,0.6557,,5.66e-04,135139,534.9,86.0,1920.0,68.51
1500,73777152,0.6293,,5.63e-04,135154,553.1,85.0,1920.0,67.48
1550,76234752,0.6420,,5.60e-04,135572,571.2,87.0,1920.0,69.26
1600,78692352,0.6122,,5.56e-04,135501,589.4,87.0,2340.0,68.65
1650,81149952,0.6658,,5.53e-04,135210,607.5,86.0,1920.0,69.27
1700,83607552,0.6697,,5.50e-04,135612,625.7,87.0,2070.0,69.3
1750,86065152,0.6092,,5.46e-04,135237,643.8,86.0,1965.0,68.89
1800,88522752,0.5860,,5.42e-04,135449,662.0,86.0,2085.0,68.72
1850,90980352,0.5927,,5.39e-04,135130,680.2,86.0,1980.0,68.51
1900,93437952,0.5751,,5.35e-04,134548,698.4,87.0,1965.0,67.55
1950,95895552,0.5986,,5.31e-04,135083,716.6,87.0,1995.0,69.27
2000,98353152,0.5292,,5.27e-04,134916,734.8,86.0,1920.0,69.38
2000,98353152,0.5292,0.5539,5.27e-04,,737.8,87.0,1950.0,68.36
2050,100810752,0.5239,,5.23e-04,135738,756.2,86.0,1920.0,68.83
2100,103268352,0.5152,,5.18e-04,135421,774.4,86.0,1980.0,67.88
2150,105725952,0.5693,,5.14e-04,135166,792.5,87.0,1980.0,68.41
2200,108183552,0.5270,,5.10e-04,135455,810.7,86.0,1980.0,69.14
2250,110641152,0.5547,,5.05e-04,135369,828.8,87.0,2070.0,67.43
2300,113098752,0.4926,,5.01e-04,135202,847.0,87.0,1980.0,68.44
2350,115556352,0.5796,,4.96e-04,135617,865.1,86.0,1995.0,67.62
2400,118013952,0.4940,,4.91e-04,135402,883.3,86.0,1965.0,68.71
2450,120471552,0.5281,,4.86e-04,135199,901.5,86.0,2070.0,68.12
2500,122929152,0.5417,,4.81e-04,135463,919.6,87.0,1995.0,68.9
2550,125386752,0.4967,,4.76e-04,135463,937.8,86.0,2100.0,68.36
2600,127844352,0.5529,,4.71e-04,135396,955.9,86.0,1950.0,69.02
2650,130301952,0.4721,,4.66e-04,135548,974.0,87.0,1980.0,69.22
2700,132759552,0.5332,,4.61e-04,135393,992.2,86.0,2025.0,68.6
2750,135217152,0.4801,,4.56e-04,135616,1010.3,87.0,2040.0,69.49
2800,137674752,0.5583,,4.50e-04,135387,1028.5,86.0,1980.0,68.46
2850,140132352,0.4758,,4.45e-04,135731,1046.6,85.0,1920.0,68.47
2900,142589952,0.4648,,4.40e-04,135855,1064.7,87.0,2025.0,68.97
2950,145047552,0.4880,,4.34e-04,135713,1082.8,87.0,2070.0,69.51
3000,147505152,0.4715,,4.29e-04,135565,1100.9,85.0,1920.0,68.72
3000,147505152,0.4715,0.4619,4.29e-04,,1103.8,86.0,1950.0,67.96
3050,149962752,0.4564,,4.23e-04,136347,1122.1,87.0,2010.0,69.31
3100,152420352,0.4543,,4.17e-04,135761,1140.2,87.0,1980.0,69.42
3150,154877952,0.4604,,4.12e-04,135007,1158.4,88.0,1965.0,69.79
3200,157335552,0.4678,,4.06e-04,135625,1176.6,88.0,1980.0,68.89
3250,159793152,0.4802,,4.00e-04,135646,1194.7,85.0,1920.0,68.67
3300,162250752,0.4815,,3.94e-04,135415,1212.8,87.0,1995.0,67.91
3350,164708352,0.4632,,3.89e-04,135290,1231.0,85.0,1920.0,67.95
3400,167165952,0.4094,,3.83e-04,135938,1249.1,87.0,1920.0,69.71
3450,169623552,0.4320,,3.77e-04,135154,1267.3,87.0,1995.0,69.25
3500,172081152,0.4200,,3.71e-04,135586,1285.4,86.0,2085.0,67.78
3550,174538752,0.4719,,3.65e-04,135663,1303.5,86.0,1950.0,68.54
3600,176996352,0.4600,,3.59e-04,135453,1321.6,85.0,2025.0,68.41
3650,179453952,0.4466,,3.53e-04,135814,1339.7,86.0,1980.0,69.23
3700,181911552,0.4359,,3.47e-04,135739,1357.8,86.0,1980.0,68.19
3750,184369152,0.4013,,3.41e-04,135480,1376.0,86.0,2040.0,67.89
3800,186826752,0.4438,,3.35e-04,135645,1394.1,87.0,1980.0,69.04
3850,189284352,0.3691,,3.29e-04,135413,1412.2,86.0,1920.0,70.36
3900,191741952,0.4412,,3.23e-04,135299,1430.4,86.0,1965.0,68.91
3950,194199552,0.4494,,3.17e-04,135615,1448.5,86.0,2040.0,68.73
4000,196657152,0.4260,,3.11e-04,135240,1466.7,86.0,1995.0,68.74
4000,196657152,0.4260,0.4250,3.11e-04,,1469.6,86.0,1920.0,67.32
4050,199114752,0.4194,,3.05e-04,136155,1488.0,86.0,1980.0,68.75
4100,201572352,0.4211,,2.99e-04,135709,1506.1,87.0,1980.0,69.3
4150,204029952,0.4328,,2.93e-04,135634,1524.2,86.0,1965.0,69.97
4200,206487552,0.3818,,2.87e-04,135786,1542.3,86.0,1920.0,69.17
4250,208945152,0.3571,,2.82e-04,135658,1560.4,87.0,1950.0,69.58
4300,211402752,0.4044,,2.76e-04,135834,1578.5,87.0,1920.0,70.04
4350,213860352,0.4130,,2.70e-04,135649,1596.6,87.0,1980.0,70.06
4400,216317952,0.3927,,2.64e-04,135472,1614.8,85.0,1920.0,68.59
4450,218775552,0.3919,,2.58e-04,135897,1632.8,87.0,2040.0,69.4
4500,221233152,0.3743,,2.52e-04,135572,1651.0,87.0,1980.0,70.29
4550,223690752,0.3841,,2.47e-04,135723,1669.1,87.0,2010.0,68.77
4600,226148352,0.3939,,2.41e-04,135877,1687.2,87.0,1995.0,68.96
4650,228605952,0.3731,,2.35e-04,135542,1705.3,85.0,1950.0,68.73
4700,231063552,0.3671,,2.30e-04,135780,1723.4,86.0,1950.0,67.4
4750,233521152,0.3722,,2.24e-04,135568,1741.5,87.0,1980.0,69.41
4800,235978752,0.3659,,2.19e-04,135854,1759.6,87.0,1980.0,69.13
4850,238436352,0.3684,,2.13e-04,135891,1777.7,85.0,1935.0,68.47
4900,240893952,0.3532,,2.08e-04,135890,1795.8,86.0,1980.0,68.17
4950,243351552,0.3698,,2.03e-04,135860,1813.9,85.0,2025.0,68.89
5000,245809152,0.4169,,1.97e-04,135793,1832.0,82.0,1980.0,68.6
5000,245809152,0.4169,0.3724,1.97e-04,,1834.9,87.0,1920.0,69.02
5050,248266752,0.3833,,1.92e-04,136094,1853.2,86.0,1920.0,69.99
5100,250724352,0.4014,,1.87e-04,135877,1871.3,87.0,1995.0,69.44
5150,253181952,0.3609,,1.82e-04,135925,1889.4,87.0,2025.0,69.12
5200,255639552,0.3555,,1.77e-04,135826,1907.5,85.0,2325.0,66.17
5250,258097152,0.3395,,1.72e-04,135081,1925.7,86.0,1920.0,68.36
5300,260554752,0.3620,,1.67e-04,135836,1943.7,87.0,2070.0,67.99
5350,263012352,0.3609,,1.63e-04,135280,1961.9,86.0,1965.0,69.88
5400,265469952,0.3481,,1.58e-04,135893,1980.0,87.0,1995.0,69.2
5450,267927552,0.3544,,1.54e-04,135438,1998.1,86.0,1980.0,67.43
5500,270385152,0.3503,,1.49e-04,135108,2016.3,87.0,2100.0,69.82
5550,272842752,0.3251,,1.45e-04,135801,2034.4,86.0,2115.0,69.29
5600,275300352,0.3420,,1.40e-04,135936,2052.5,86.0,1995.0,68.65
5650,277757952,0.3209,,1.36e-04,135501,2070.6,87.0,1980.0,69.51
5700,280215552,0.3267,,1.32e-04,135746,2088.8,87.0,2070.0,69.51
5750,282673152,0.3173,,1.28e-04,135508,2106.9,87.0,1995.0,69.53
5800,285130752,0.3258,,1.24e-04,135652,2125.0,87.0,1980.0,69.46
5850,287588352,0.3374,,1.20e-04,135459,2143.1,86.0,1950.0,68.39
5900,290045952,0.3160,,1.17e-04,135812,2161.2,85.0,1920.0,69.14
5950,292503552,0.3257,,1.13e-04,135595,2179.4,87.0,2025.0,68.96
6000,294961152,0.3279,,1.09e-04,135732,2197.5,86.0,1935.0,68.96
6000,294961152,0.3279,0.3573,1.09e-04,,2200.4,86.0,1965.0,67.66
6050,297418752,0.3258,,1.06e-04,136258,2218.8,87.0,2040.0,69.71
6100,299876352,0.3264,,1.03e-04,135497,2236.9,86.0,2040.0,69.17
6150,302333952,0.3238,,9.95e-05,135846,2255.0,87.0,1920.0,69.54
6200,304791552,0.2970,,9.65e-05,135449,2273.2,86.0,1920.0,69.32
6250,307249152,0.3050,,9.35e-05,135964,2291.2,87.0,1980.0,69.02
6300,309706752,0.3071,,9.07e-05,135475,2309.4,86.0,1920.0,69.86
6350,312164352,0.3071,,8.80e-05,135978,2327.5,86.0,2055.0,67.96
6400,314621952,0.2714,,8.54e-05,135746,2345.6,86.0,2025.0,69.2
6450,317079552,0.3196,,8.29e-05,135682,2363.7,87.0,1920.0,69.46
6500,319537152,0.2935,,8.06e-05,135822,2381.8,86.0,2070.0,68.84
6550,321994752,0.3077,,7.83e-05,135961,2399.8,86.0,1980.0,69.06
6600,324452352,0.2710,,7.62e-05,135653,2418.0,87.0,2055.0,69.02
6650,326909952,0.3098,,7.42e-05,135647,2436.1,86.0,1995.0,69.03
6700,329367552,0.2727,,7.24e-05,135531,2454.2,87.0,2070.0,68.98
6750,331825152,0.3045,,7.07e-05,135844,2472.3,87.0,2025.0,68.95
6800,334282752,0.3122,,6.91e-05,135299,2490.5,87.0,2055.0,69.82
6850,336740352,0.2963,,6.76e-05,135563,2508.6,87.0,2025.0,69.02
6900,339197952,0.3406,,6.62e-05,135515,2526.7,85.0,1950.0,67.76
6950,341655552,0.3366,,6.50e-05,135514,2544.9,88.0,2055.0,69.01
7000,344113152,0.3338,,6.39e-05,135908,2562.9,87.0,2070.0,68.88
7000,344113152,0.3338,0.3503,6.39e-05,,2565.8,87.0,1950.0,68.4
7050,346570752,0.3193,,6.30e-05,136212,2584.2,87.0,1995.0,68.34
7100,349028352,0.2963,,6.22e-05,135702,2602.3,87.0,2025.0,69.25
7150,351485952,0.2936,,6.15e-05,135638,2620.4,86.0,2040.0,68.95
7200,353943552,0.3299,,6.09e-05,135135,2638.6,86.0,2040.0,67.83
7250,356401152,0.2922,,6.05e-05,135841,2656.7,87.0,1965.0,69.12
7300,358858752,0.2813,,6.02e-05,134425,2674.9,87.0,1980.0,67.76
7350,361316352,0.2993,,6.00e-05,134895,2693.2,87.0,1920.0,69.4
