elapsed_s,step,tok_per_s,temp_c,sm_mhz,power_w,util
3.2,10,152831,86.0,2280.0,81.61,100.0
6.6,20,145681,85.0,2175.0,79.98,100.0
10.0,30,143662,87.0,2130.0,81.63,100.0
13.5,40,142196,87.0,2115.0,78.17,100.0
16.9,50,141164,85.0,2040.0,73.69,100.0
20.5,60,139267,86.0,1920.0,67.09,100.0
24.0,70,138872,88.0,2175.0,79.5,100.0
27.6,80,138572,87.0,2115.0,71.95,100.0
31.1,90,137673,87.0,2040.0,75.79,100.0
34.7,100,136959,87.0,2040.0,75.1,100.0
38.3,110,136238,85.0,2070.0,72.44,100.0
41.9,120,136993,86.0,1995.0,71.19,100.0
45.5,130,135641,86.0,1920.0,69.43,100.0
49.2,140,135080,86.0,2025.0,70.87,100.0
52.8,150,135066,85.0,2235.0,74.76,100.0
56.5,160,135275,87.0,1965.0,70.97,100.0
60.1,170,135164,86.0,2070.0,68.89,100.0
63.8,180,133383,81.0,2280.0,65.7,89.0
67.5,190,132083,86.0,1950.0,67.21,100.0
71.2,200,132939,86.0,1965.0,67.05,100.0
74.9,210,132852,86.0,1980.0,67.42,100.0
78.6,220,132937,86.0,1965.0,68.2,100.0
82.3,230,133377,87.0,1950.0,69.52,100.0
86.0,240,133269,87.0,1920.0,68.01,100.0
89.7,250,131278,86.0,1950.0,65.87,100.0
93.4,260,132479,86.0,1950.0,68.69,100.0
97.1,270,132869,86.0,1920.0,65.47,100.0
100.8,280,132133,87.0,1935.0,69.23,100.0
104.5,290,132674,87.0,1950.0,67.4,100.0
108.3,300,131324,86.0,1995.0,68.45,100.0
112.0,310,131701,86.0,1920.0,66.09,100.0
115.8,320,130918,87.0,1920.0,68.7,100.0
119.5,330,132125,88.0,1995.0,71.7,100.0
123.3,340,130103,86.0,1920.0,68.4,100.0
127.0,350,130988,86.0,1920.0,66.1,100.0
130.8,360,130613,86.0,1920.0,68.03,100.0
134.6,370,129889,86.0,1920.0,68.02,100.0
138.3,380,130651,87.0,1965.0,69.59,100.0
142.1,390,129655,87.0,1920.0,65.52,100.0
145.9,400,131092,87.0,1920.0,66.22,100.0
149.6,410,130902,86.0,1920.0,66.29,100.0
153.3,420,132087,87.0,2010.0,68.12,100.0
157.0,430,133225,86.0,1980.0,68.01,100.0
160.7,440,133656,86.0,1920.0,67.12,100.0
164.4,450,133825,86.0,1980.0,68.31,100.0
168.1,460,134023,86.0,2025.0,70.03,100.0
171.8,470,132817,86.0,2040.0,72.89,100.0
175.4,480,133977,86.0,2100.0,69.51,100.0
179.1,490,133877,87.0,1980.0,69.33,100.0
183.0,500,127451,86.0,1950.0,59.64,100.0
186.6,510,133333,85.0,1980.0,69.08,100.0
190.3,520,133698,87.0,2265.0,51.59,72.0
193.9,530,135444,87.0,1920.0,65.04,100.0
197.6,540,135704,85.0,1980.0,66.27,100.0
201.2,550,135914,87.0,2055.0,70.45,100.0
204.8,560,135840,86.0,2040.0,68.17,100.0
208.4,570,135269,86.0,1995.0,67.37,100.0
212.1,580,135527,86.0,1995.0,68.18,100.0
215.7,590,134863,86.0,2025.0,71.18,100.0
219.4,600,133596,85.0,2025.0,68.39,100.0
223.0,610,135015,87.0,2010.0,70.51,100.0
226.7,620,135578,86.0,1980.0,69.76,100.0
230.3,630,133648,81.0,2055.0,68.92,100.0
234.1,640,131685,86.0,1995.0,68.94,100.0
237.7,650,134763,87.0,2055.0,69.27,100.0
241.4,660,134345,86.0,2040.0,71.24,100.0
245.0,670,133915,86.0,2010.0,68.32,100.0
248.7,680,132741,87.0,2025.0,68.2,100.0
252.4,690,133629,86.0,2025.0,68.89,100.0
256.1,700,134633,86.0,1995.0,69.95,100.0
259.8,710,132515,86.0,2025.0,67.75,100.0
263.4,720,134249,86.0,1995.0,72.58,100.0
267.1,730,134897,86.0,2055.0,65.31,100.0
270.7,740,134229,87.0,2115.0,69.29,100.0
274.4,750,134174,87.0,2070.0,72.8,100.0
278.0,760,135479,86.0,1980.0,70.89,100.0
281.7,770,135011,86.0,1995.0,70.28,100.0
285.3,780,136322,86.0,2085.0,70.67,100.0
288.9,790,134735,87.0,2055.0,73.23,100.0
292.6,800,135810,86.0,1995.0,68.99,100.0
296.2,810,134291,86.0,2070.0,68.78,100.0
299.8,820,136037,83.0,2250.0,68.91,100.0
303.4,830,135723,86.0,2040.0,70.94,100.0
307.2,840,132253,87.0,2055.0,70.15,100.0
310.8,850,135370,81.0,2265.0,64.25,91.0
314.5,860,134238,87.0,2010.0,74.59,100.0
318.1,870,134168,86.0,2010.0,70.88,100.0
321.7,880,135866,87.0,1965.0,73.38,100.0
325.4,890,132497,86.0,2010.0,71.02,100.0
329.1,900,135576,86.0,1995.0,63.86,100.0
332.7,910,135526,86.0,2040.0,69.01,100.0
336.4,920,134433,86.0,2040.0,69.11,100.0
340.0,930,134163,87.0,2055.0,70.11,100.0
343.6,940,135611,88.0,2085.0,75.21,100.0
347.3,950,135205,85.0,1920.0,71.39,100.0
350.9,960,135865,87.0,1980.0,72.29,100.0
354.5,970,135987,86.0,1995.0,72.85,100.0
358.1,980,135783,87.0,1920.0,73.67,100.0
361.8,990,135693,86.0,1935.0,67.82,100.0
365.4,1000,134425,86.0,2115.0,70.66,100.0
369.0,1010,135606,87.0,2055.0,71.97,100.0
372.6,1020,135940,87.0,1995.0,70.52,100.0
376.3,1030,134360,87.0,2010.0,72.02,100.0
380.0,1040,134317,86.0,1995.0,67.99,100.0
383.6,1050,135532,85.0,2085.0,70.1,100.0
387.2,1060,134912,86.0,2025.0,67.85,100.0
390.9,1070,135753,85.0,1950.0,66.97,100.0
394.6,1080,131361,85.0,1965.0,66.64,100.0
398.2,1090,135659,86.0,1935.0,63.68,100.0
401.9,1100,134286,87.0,1980.0,67.89,100.0
405.5,1110,135880,86.0,1980.0,71.22,100.0
409.1,1120,135624,86.0,1965.0,67.72,100.0
412.7,1130,136019,86.0,2010.0,69.13,100.0
416.4,1140,134560,85.0,2070.0,68.11,100.0
420.0,1150,135049,87.0,2025.0,73.5,100.0
423.7,1160,135694,86.0,1920.0,66.59,100.0
427.3,1170,133164,86.0,2040.0,57.69,79.0
431.0,1180,135490,88.0,1980.0,72.05,100.0
434.6,1190,135899,87.0,2085.0,71.71,100.0
438.2,1200,135775,87.0,2025.0,71.67,100.0
441.8,1210,135034,86.0,2085.0,55.1,88.0
445.6,1220,130908,87.0,2085.0,73.11,100.0
449.2,1230,135563,86.0,2040.0,69.48,100.0
452.9,1240,134327,86.0,1950.0,68.0,100.0
456.5,1250,136035,87.0,2085.0,79.23,100.0
460.1,1260,135472,85.0,1965.0,66.16,100.0
463.8,1270,135418,86.0,1995.0,69.74,100.0
467.4,1280,134651,87.0,2040.0,71.31,100.0
471.0,1290,135693,87.0,1980.0,71.75,100.0
474.7,1300,133804,86.0,2010.0,69.73,100.0
478.3,1310,135697,86.0,1980.0,71.52,100.0
482.0,1320,134684,87.0,1980.0,75.36,100.0
485.6,1330,134223,86.0,2100.0,67.99,100.0
489.3,1340,135603,86.0,2070.0,68.62,100.0
492.9,1350,134730,85.0,1980.0,67.59,100.0
496.6,1360,134958,85.0,1995.0,68.33,100.0
500.2,1370,134719,86.0,2025.0,71.7,100.0
503.8,1380,135529,81.0,2175.0,64.22,90.0
507.5,1390,134581,87.0,2040.0,74.17,100.0
511.1,1400,134916,87.0,2100.0,60.41,100.0
514.8,1410,135320,87.0,1995.0,70.47,100.0
518.4,1420,134225,87.0,1920.0,67.29,100.0
522.1,1430,133172,87.0,2130.0,71.19,99.0
525.8,1440,134031,86.0,1935.0,67.07,100.0
529.4,1450,135493,87.0,2025.0,73.05,100.0
533.0,1460,135102,87.0,1995.0,70.29,100.0
536.7,1470,135278,87.0,1980.0,69.53,100.0
540.4,1480,133220,86.0,2025.0,68.91,100.0
544.0,1490,134760,87.0,1995.0,71.27,100.0
547.7,1500,134312,86.0,1980.0,66.66,100.0
551.3,1510,135878,86.0,2085.0,70.6,100.0
554.9,1520,135810,86.0,1995.0,67.3,100.0
558.6,1530,134651,87.0,2085.0,73.43,100.0
562.2,1540,135682,87.0,2025.0,68.93,100.0
565.8,1550,135081,87.0,2130.0,72.44,100.0
569.4,1560,135725,86.0,2055.0,71.14,100.0
573.1,1570,134266,87.0,2040.0,72.05,100.0
576.7,1580,135889,87.0,2010.0,71.16,100.0
580.4,1590,135243,87.0,2310.0,71.21,100.0
584.0,1600,135594,87.0,1965.0,72.77,100.0
587.7,1610,132311,86.0,2085.0,69.88,100.0
591.3,1620,135044,84.0,2190.0,66.49,100.0
595.0,1630,134222,87.0,1980.0,71.07,100.0
598.6,1640,135398,86.0,2100.0,70.49,100.0
602.3,1650,135022,87.0,1965.0,73.52,100.0
605.9,1660,135893,86.0,2025.0,70.0,100.0
609.5,1670,134383,86.0,1920.0,67.88,100.0
613.2,1680,135222,87.0,2040.0,73.64,100.0
616.8,1690,134807,87.0,2040.0,71.01,100.0
620.4,1700,135627,86.0,2130.0,72.11,100.0
624.1,1710,134604,86.0,2085.0,70.8,100.0
627.8,1720,134004,86.0,2070.0,68.4,100.0
631.4,1730,135759,87.0,2010.0,68.91,100.0
635.0,1740,135260,86.0,2055.0,68.84,100.0
638.6,1750,135829,88.0,2070.0,67.83,100.0
642.3,1760,134319,86.0,1980.0,70.25,100.0
645.9,1770,135281,86.0,2025.0,71.69,100.0
649.6,1780,135622,87.0,2025.0,70.08,100.0
653.3,1790,131978,87.0,2070.0,70.78,100.0
656.9,1800,135793,86.0,2025.0,68.68,100.0
660.6,1810,133301,86.0,1995.0,70.11,100.0
664.2,1820,134814,87.0,2010.0,70.46,100.0
667.9,1830,133010,86.0,2025.0,70.24,100.0
671.6,1840,135385,86.0,2010.0,69.9,100.0
675.2,1850,133495,86.0,1920.0,64.33,100.0
678.9,1860,135495,87.0,1995.0,61.55,90.0
682.5,1870,135296,86.0,2040.0,71.07,100.0
686.2,1880,134612,87.0,2145.0,72.79,100.0
689.8,1890,133510,87.0,1920.0,62.03,100.0
693.5,1900,134386,86.0,1980.0,69.69,100.0
697.1,1910,135212,87.0,2115.0,74.74,100.0
700.9,1920,131812,88.0,2160.0,71.28,85.0
704.5,1930,135074,87.0,1995.0,71.71,100.0
708.2,1940,134414,86.0,2070.0,72.17,100.0
711.8,1950,134900,87.0,1995.0,67.98,100.0
715.5,1960,133825,86.0,2025.0,69.1,100.0
719.2,1970,133177,85.0,1950.0,70.47,100.0
722.8,1980,133467,88.0,2265.0,65.19,77.0
726.5,1990,133751,86.0,1995.0,70.87,100.0
730.2,2000,134214,87.0,1920.0,71.86,100.0
733.8,2010,134109,87.0,1920.0,70.14,100.0
737.5,2020,135518,87.0,2130.0,72.51,100.0
741.1,2030,134750,87.0,1980.0,67.28,100.0
744.8,2040,134699,86.0,1980.0,69.59,100.0
748.5,2050,133117,86.0,1995.0,67.19,100.0
752.1,2060,133880,87.0,1920.0,66.3,100.0
755.9,2070,131598,82.0,1935.0,66.23,100.0
759.5,2080,134335,86.0,2070.0,65.06,100.0
763.2,2090,134213,86.0,1980.0,70.15,100.0
766.9,2100,133716,82.0,2085.0,66.95,100.0
770.5,2110,133918,87.0,2055.0,70.87,100.0
774.2,2120,133197,86.0,1950.0,66.69,100.0
777.9,2130,135331,83.0,2040.0,70.62,100.0
781.5,2140,134526,87.0,2070.0,72.39,100.0
785.1,2150,135078,86.0,1980.0,67.04,100.0
788.8,2160,135272,86.0,2010.0,67.26,100.0
792.4,2170,134241,87.0,2025.0,59.51,100.0
796.1,2180,135781,87.0,1995.0,70.98,100.0
799.7,2190,134992,87.0,2085.0,70.24,100.0
803.4,2200,134629,82.0,2010.0,65.84,100.0
807.1,2210,131968,85.0,1935.0,66.29,100.0
810.7,2220,135283,85.0,2010.0,65.7,100.0
814.4,2230,133940,86.0,2025.0,70.96,100.0
818.0,2240,134134,89.0,2115.0,77.68,100.0
